Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
18,12,1,1,5,2,14,2,1,2,8,6,7,1,3,5,1,11,2,1,1,1,1,1,6,0,6,1,1357.6
4,13,1,1,3,2,14,6,1,2,8,6,7,1,3,4,0,11,12,1,1,1,1,1,1,1,6,1,2308.628
18,13,1,1,2,2,14,2,1,2,1,6,7,1,3,5,1,11,2,1,1,1,1,1,1,0,6,1,1214.245
18,12,1,2,5,2,14,2,1,2,8,8,7,1,3,5,1,11,16,1,1,1,1,1,6,0,6,1,1487.98
18,10,1,1,5,2,14,2,1,2,1,6,7,1,3,5,1,11,2,1,1,1,1,1,3,0,6,1,1265.148
18,10,1,1,5,2,14,2,1,2,1,6,7,1,3,5,1,11,2,1,1,1,1,1,3,0,6,1,1167.3539999999998
0,13,8,1,3,2,14,3,0,2,1,6,0,6,3,5,1,9,11,3,1,1,1,1,8,1,9,1,2503.44
4,13,1,1,3,2,14,6,1,2,8,6,7,1,3,4,0,11,12,1,1,1,1,1,6,1,6,1,1863.445
18,11,1,1,5,2,14,2,1,2,1,6,7,1,3,5,1,5,12,1,1,1,0,1,1,1,5,0,1733.976
4,6,1,1,3,2,16,1,1,2,8,6,7,1,3,4,0,11,12,1,1,1,0,1,1,1,6,1,2025.65
18,12,1,1,5,2,14,2,1,2,8,6,7,1,3,5,1,5,12,1,1,1,1,1,6,1,5,0,1343.462
18,12,1,1,5,2,14,2,1,2,8,6,7,1,3,5,1,5,12,1,1,1,1,1,6,1,4,0,1505.16
18,10,1,1,5,2,14,2,1,2,1,6,7,1,3,5,1,11,2,1,1,1,1,1,1,0,6,1,1235.156
18,8,1,1,5,2,2,6,2,1,1,6,7,1,3,5,1,11,2,1,2,1,1,1,6,0,6,1,1260.594
4,13,1,1,3,2,14,6,1,2,8,6,7,1,3,4,0,1,12,1,1,1,1,1,1,1,5,0,1961.896
18,11,1,2,5,2,14,2,1,2,1,8,7,1,3,5,1,5,18,1,1,1,0,1,1,1,5,0,1411.928
18,12,1,2,6,2,14,2,0,2,1,8,7,1,3,5,1,5,18,1,1,1,0,1,1,1,5,0,2579.81
12,13,9,1,3,2,15,2,0,2,1,6,0,6,2,19,1,1,12,3,1,1,1,1,8,1,9,1,2359.736
4,6,1,1,3,2,14,1,1,2,8,6,7,1,3,4,0,11,12,1,1,1,0,1,1,1,6,1,1934.252
